test	suite	result	exit_status	wall_seconds	cycles	log	tohost_exit	campaign
rv64ui-v-addi	isa	PASS	0	12.838		isa-run/rv64ui-v-addi/simulation.log		isa-run
rv64ui-v-addiw	isa	PASS	0	13.146		isa-run/rv64ui-v-addiw/simulation.log		isa-run
rv64ui-v-addw	isa	PASS	0	13.611		isa-run/rv64ui-v-addw/simulation.log		isa-run
rv64ui-v-and	isa	PASS	0	22.56		isa-run/rv64ui-v-and/simulation.log		isa-run
rv64ui-v-andi	isa	PASS	0	12.601		isa-run/rv64ui-v-andi/simulation.log		isa-run
rv64ui-v-auipc	isa	PASS	0	13.252		isa-run/rv64ui-v-auipc/simulation.log		isa-run
rv64ui-v-beq	isa	PASS	0	13.196		isa-run/rv64ui-v-beq/simulation.log		isa-run
rv64ui-v-bge	isa	PASS	0	13.806		isa-run/rv64ui-v-bge/simulation.log		isa-run
rv64ui-v-bgeu	isa	PASS	0	13.104		isa-run/rv64ui-v-bgeu/simulation.log		isa-run
rv64ui-v-blt	isa	PASS	0	14.311		isa-run/rv64ui-v-blt/simulation.log		isa-run
rv64ui-v-bltu	isa	PASS	0	14.005		isa-run/rv64ui-v-bltu/simulation.log		isa-run
rv64ui-v-bne	isa	PASS	0	13.153		isa-run/rv64ui-v-bne/simulation.log		isa-run
rv64ui-v-fence_i	isa	PASS	0	22.969		isa-run/rv64ui-v-fence_i/simulation.log		isa-run
rv64ui-v-jal	isa	PASS	0	13.107		isa-run/rv64ui-v-jal/simulation.log		isa-run
rv64ui-v-jalr	isa	PASS	0	12.85		isa-run/rv64ui-v-jalr/simulation.log		isa-run
rv64ui-v-lb	isa	PASS	0	22.163		isa-run/rv64ui-v-lb/simulation.log		isa-run
