UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_129,4.687500e-05,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_130,9.375000e-05,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_131,1.406250e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_132,1.875000e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_133,2.343750e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_134,2.812500e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_135,3.281250e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_136,3.750000e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_137,4.218750e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_138,4.687500e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_139,5.156250e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_140,5.625000e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_141,6.093750e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_142,6.562500e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_143,7.031250e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_144,7.500000e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_145,7.968750e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_146,8.437500e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_147,8.906250e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_148,9.375000e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_149,9.843750e-04,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_150,1.031250e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_151,1.078125e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_152,1.125000e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_153,1.171875e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_154,1.218750e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_155,1.265625e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_156,1.312500e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_157,1.359375e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_158,1.406250e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_159,1.453125e-03,1.875000e-04,4.687500e-05,4.687500e-05,,Si
unit_160,0.000000e+00,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_161,4.687500e-05,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_162,9.375000e-05,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_163,1.406250e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_164,1.875000e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_165,2.343750e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_166,2.812500e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_167,3.281250e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_168,3.750000e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_169,4.218750e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_170,4.687500e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_171,5.156250e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_172,5.625000e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_173,6.093750e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_174,6.562500e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_175,7.031250e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_176,7.500000e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_177,7.968750e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
unit_178,8.437500e-04,2.343750e-04,4.687500e-05,4.687500e-05,,Si
