test	suite	comparison	rtl_result	spike_status	rtl_exit_status	spike_exit_code	rtl_tohost_exit	rtl_campaign	rtl_log	spike_log	binary	sha256	reference_elf_hash_evidence
legacy-bf_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-bf_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-bf_matmul-dual.log	bench-build/bin/legacy-bf_matmul-dual.riscv	9e45e71889f0cd125d13b3501a9e250d02c40bd11534683e77db23c9b680b392	BUILD_HASH_ONLY
legacy-bh_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-bh_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-bh_matmul-dual.log	bench-build/bin/legacy-bh_matmul-dual.riscv	5829cf3aad72b78a46fbbde11b7e6652589a31650489d1af577836989b0a82ad	BUILD_HASH_ONLY
legacy-bj_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-bj_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-bj_matmul-dual.log	bench-build/bin/legacy-bj_matmul-dual.riscv	25c176a1a9026017855e94480f04edb58f2985059468e86123cb7ea70da0ae0e	BUILD_HASH_ONLY
legacy-bk_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-bk_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-bk_matmul-dual.log	bench-build/bin/legacy-bk_matmul-dual.riscv	9c9541f3bfbd61641268158a322c60bbad6fa661927440c1915e8059f3c60578	BUILD_HASH_ONLY
legacy-bm_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-bm_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-bm_matmul-dual.log	bench-build/bin/legacy-bm_matmul-dual.riscv	05201c9e387a58294b2c25e80eeb6143cc337053502bcb9745104759d34e10c8	BUILD_HASH_ONLY
legacy-bo_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	57	1337	bench-run	bench-run/legacy-bo_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-bo_matmul-dual.log	bench-build/bin/legacy-bo_matmul-dual.riscv	3fdafc709d356cdc6da38d0530fc220573e22668563478547d011a29b926444e	BUILD_HASH_ONLY
legacy-br_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-br_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-br_matmul-dual.log	bench-build/bin/legacy-br_matmul-dual.riscv	a9d2165ca7cfe63d1f07c5e038b244f93534137f4555e2518bced8cb20e1b13b	BUILD_HASH_ONLY
legacy-bs_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-bs_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-bs_matmul-dual.log	bench-build/bin/legacy-bs_matmul-dual.riscv	dff02cef1b3afa4c4df3d3f40af18699c8e7a701e18b1cc331b6ad10f86c2a0d	BUILD_HASH_ONLY
legacy-ce_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ce_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ce_matmul-dual.log	bench-build/bin/legacy-ce_matmul-dual.riscv	3bf557abbd3e00b35c9238711c7e9b48d9240463e71ef81ab3ac58274b7218ec	BUILD_HASH_ONLY
legacy-cf_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-cf_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-cf_matmul-dual.log	bench-build/bin/legacy-cf_matmul-dual.riscv	b7feb488ee3fa1a84169304232b4c7f3ead4306706cb29f4f6fcf05baaf5798a	BUILD_HASH_ONLY
legacy-cg_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-cg_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-cg_matmul-dual.log	bench-build/bin/legacy-cg_matmul-dual.riscv	c40264d7300ad422ec57a6889068aab96998aa88437d2e1d63a1969e0f94bc99	BUILD_HASH_ONLY
legacy-ci_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ci_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ci_matmul-dual.log	bench-build/bin/legacy-ci_matmul-dual.riscv	8058f311b0ba9cddf47d7df8026b0fa5d752cf0953b2ebc3214192ae9b471b43	BUILD_HASH_ONLY
