test	suite	result	exit_status	wall_seconds	cycles	log	campaign
rv64uf-p-fdiv	isa	PASS	0	5.957		campaigns/cpu-isa/rv64uf-p-fdiv/simulation.log	cpu-isa
rv64uf-p-fcvt_w	isa	PASS	0	10.086		campaigns/cpu-isa/rv64uf-p-fcvt_w/simulation.log	cpu-isa
rv64uf-p-fmadd	isa	PASS	0	6.613		campaigns/cpu-isa/rv64uf-p-fmadd/simulation.log	cpu-isa
rv64uf-p-fmin	isa	PASS	0	7.475		campaigns/cpu-isa/rv64uf-p-fmin/simulation.log	cpu-isa
rv64uf-p-ldst	isa	PASS	0	4.746		campaigns/cpu-isa/rv64uf-p-ldst/simulation.log	cpu-isa
rv64uf-p-recoding	isa	PASS	0	4.856		campaigns/cpu-isa/rv64uf-p-recoding/simulation.log	cpu-isa
rv64uf-p-move	isa	PASS	0	7.265		campaigns/cpu-isa/rv64uf-p-move/simulation.log	cpu-isa
rv64uf-v-fclass	isa	PASS	0	41.265		campaigns/cpu-isa/rv64uf-v-fclass/simulation.log	cpu-isa
rv64uf-v-fadd	isa	PASS	0	67.421		campaigns/cpu-isa/rv64uf-v-fadd/simulation.log	cpu-isa
rv64uf-v-fcmp	isa	PASS	0	64.923		campaigns/cpu-isa/rv64uf-v-fcmp/simulation.log	cpu-isa
rv64uf-v-fcvt	isa	PASS	0	70.752		campaigns/cpu-isa/rv64uf-v-fcvt/simulation.log	cpu-isa
rv64uf-v-fdiv	isa	PASS	0	69.078		campaigns/cpu-isa/rv64uf-v-fdiv/simulation.log	cpu-isa
rv64uf-v-fcvt_w	isa	PASS	0	109.163		campaigns/cpu-isa/rv64uf-v-fcvt_w/simulation.log	cpu-isa
rv64uf-v-fmadd	isa	PASS	0	75.999		campaigns/cpu-isa/rv64uf-v-fmadd/simulation.log	cpu-isa
rv64uf-v-fmin	isa	PASS	0	72.217		campaigns/cpu-isa/rv64uf-v-fmin/simulation.log	cpu-isa
