test	baseline	current	suite
rv64ui-v-addiw	PASS	PASS	isa
rv64ui-v-addw	PASS	PASS	isa
rv64ui-v-and	PASS	PASS	isa
rv64ui-v-andi	PASS	PASS	isa
rv64ui-v-auipc	PASS	PASS	isa
rv64ui-v-beq	PASS	PASS	isa
rv64ui-v-bge	PASS	PASS	isa
rv64ui-v-bgeu	PASS	PASS	isa
rv64ui-v-blt	PASS	PASS	isa
rv64ui-v-bltu	PASS	PASS	isa
rv64ui-v-bne	PASS	PASS	isa
rv64ui-v-fence_i	PASS	PASS	isa
rv64ui-v-jal	PASS	PASS	isa
rv64ui-v-jalr	PASS	PASS	isa
rv64ui-v-lb	PASS	PASS	isa
rv64ui-v-lbu	PASS	PASS	isa
rv64ui-v-ld	PASS	PASS	isa
rv64ui-v-lh	PASS	PASS	isa
rv64ui-v-lhu	PASS	PASS	isa
rv64ui-v-lui	PASS	PASS	isa
rv64ui-v-lw	PASS	PASS	isa
rv64ui-v-lwu	PASS	PASS	isa
rv64ui-v-ma_data	WALL_TIMEOUT	WALL_TIMEOUT	isa
rv64ui-v-or	PASS	PASS	isa
rv64ui-v-ori	PASS	PASS	isa
rv64ui-v-sb	PASS	PASS	isa
rv64ui-v-sd	PASS	PASS	isa
rv64ui-v-sh	PASS	PASS	isa
rv64ui-v-simple	PASS	PASS	isa
rv64ui-v-sll	PASS	PASS	isa
rv64ui-v-slli	PASS	PASS	isa
rv64ui-v-slliw	PASS	PASS	isa
rv64ui-v-sllw	PASS	PASS	isa
rv64ui-v-slt	PASS	PASS	isa
rv64ui-v-slti	PASS	PASS	isa
rv64ui-v-sltiu	PASS	PASS	isa
rv64ui-v-sltu	PASS	PASS	isa
rv64ui-v-sra	PASS	PASS	isa
rv64ui-v-srai	PASS	PASS	isa
rv64ui-v-sraiw	PASS	PASS	isa
rv64ui-v-sraw	PASS	PASS	isa
rv64ui-v-srl	PASS	PASS	isa
rv64ui-v-srli	PASS	PASS	isa
rv64ui-v-srliw	PASS	PASS	isa
rv64ui-v-srlw	PASS	PASS	isa
rv64ui-v-sub	PASS	PASS	isa
rv64ui-v-subw	PASS	PASS	isa
rv64ui-v-sw	PASS	PASS	isa
rv64ui-v-xor	PASS	PASS	isa
rv64ui-v-xori	PASS	PASS	isa
rv64um-p-div	PASS	PASS	isa
rv64um-p-divu	PASS	PASS	isa
rv64um-p-divuw	PASS	PASS	isa
rv64um-p-divw	PASS	PASS	isa
rv64um-p-mul	PASS	PASS	isa
rv64um-p-mulh	PASS	PASS	isa
rv64um-p-mulhsu	PASS	PASS	isa
rv64um-p-mulhu	PASS	PASS	isa
rv64um-p-mulw	PASS	PASS	isa
rv64um-p-rem	PASS	PASS	isa
rv64um-p-remu	PASS	PASS	isa
rv64um-p-remuw	PASS	PASS	isa
rv64um-p-remw	PASS	PASS	isa
rv64um-v-div	PASS	PASS	isa
rv64um-v-divu	PASS	PASS	isa
rv64um-v-divuw	PASS	PASS	isa
rv64um-v-divw	PASS	PASS	isa
rv64um-v-mul	PASS	PASS	isa
rv64um-v-mulh	PASS	PASS	isa
rv64um-v-mulhsu	PASS	PASS	isa
rv64um-v-mulhu	PASS	PASS	isa
rv64um-v-mulw	PASS	PASS	isa
rv64um-v-rem	PASS	PASS	isa
rv64um-v-remu	PASS	PASS	isa
rv64um-v-remuw	PASS	PASS	isa
rv64um-v-remw	PASS	PASS	isa
rv64uzba-p-add_uw	PASS	PASS	isa
rv64uzba-p-sh1add	PASS	PASS	isa
rv64uzba-p-sh1add_uw	PASS	PASS	isa
rv64uzba-p-sh2add	PASS	PASS	isa
rv64uzba-p-sh2add_uw	PASS	PASS	isa
rv64uzba-p-sh3add	PASS	PASS	isa
rv64uzba-p-sh3add_uw	PASS	PASS	isa
rv64uzba-p-slli_uw	PASS	PASS	isa
rv64uzba-v-add_uw	PASS	PASS	isa
rv64uzba-v-sh1add	PASS	PASS	isa
rv64uzba-v-sh1add_uw	PASS	PASS	isa
rv64uzba-v-sh2add	PASS	PASS	isa
rv64uzba-v-sh2add_uw	PASS	PASS	isa
rv64uzba-v-sh3add	PASS	PASS	isa
rv64uzba-v-sh3add_uw	PASS	PASS	isa
rv64uzba-v-slli_uw	PASS	PASS	isa
rv64uzbb-p-andn	PASS	PASS	isa
rv64uzbb-p-clz	PASS	PASS	isa
rv64uzbb-p-clzw	PASS	PASS	isa
rv64uzbb-p-cpop	PASS	PASS	isa
rv64uzbb-p-cpopw	PASS	PASS	isa
rv64uzbb-p-ctz	PASS	PASS	isa
rv64uzbb-p-ctzw	PASS	PASS	isa
rv64uzbb-p-max	PASS	PASS	isa
rv64uzbb-p-maxu	PASS	PASS	isa
rv64uzbb-p-min	PASS	PASS	isa
rv64uzbb-p-minu	PASS	PASS	isa
rv64uzbb-p-orc_b	PASS	PASS	isa
rv64uzbb-p-orn	PASS	PASS	isa
rv64uzbb-p-rev8	PASS	PASS	isa
rv64uzbb-p-rol	PASS	PASS	isa
rv64uzbb-p-rolw	PASS	PASS	isa
rv64uzbb-p-ror	PASS	PASS	isa
rv64uzbb-p-rori	PASS	PASS	isa
