test	suite	result	exit_status	wall_seconds	cycles	log	campaign
rv64ua-v-amoadd_d	isa	PASS	0	16.766		campaigns/cpu-isa/rv64ua-v-amoadd_d/simulation.log	cpu-isa
rv64ua-v-amoadd_w	isa	PASS	0	16.153		campaigns/cpu-isa/rv64ua-v-amoadd_w/simulation.log	cpu-isa
rv64ua-v-amoand_d	isa	PASS	0	16.004		campaigns/cpu-isa/rv64ua-v-amoand_d/simulation.log	cpu-isa
rv64ua-v-amoand_w	isa	PASS	0	16.608		campaigns/cpu-isa/rv64ua-v-amoand_w/simulation.log	cpu-isa
rv64ua-v-amomax_d	isa	PASS	0	16.203		campaigns/cpu-isa/rv64ua-v-amomax_d/simulation.log	cpu-isa
rv64ua-v-amomax_w	isa	PASS	0	17.011		campaigns/cpu-isa/rv64ua-v-amomax_w/simulation.log	cpu-isa
rv64ua-v-amomaxu_d	isa	PASS	0	16.764		campaigns/cpu-isa/rv64ua-v-amomaxu_d/simulation.log	cpu-isa
rv64ua-v-amomaxu_w	isa	PASS	0	19.184		campaigns/cpu-isa/rv64ua-v-amomaxu_w/simulation.log	cpu-isa
rv64ua-v-amomin_d	isa	PASS	0	20.8		campaigns/cpu-isa/rv64ua-v-amomin_d/simulation.log	cpu-isa
rv64ua-v-amomin_w	isa	PASS	0	20.907		campaigns/cpu-isa/rv64ua-v-amomin_w/simulation.log	cpu-isa
rv64ua-v-amominu_d	isa	PASS	0	20.852		campaigns/cpu-isa/rv64ua-v-amominu_d/simulation.log	cpu-isa
rv64ua-v-amominu_w	isa	PASS	0	20.955		campaigns/cpu-isa/rv64ua-v-amominu_w/simulation.log	cpu-isa
rv64ua-v-amoor_d	isa	PASS	0	21.41		campaigns/cpu-isa/rv64ua-v-amoor_d/simulation.log	cpu-isa
rv64ua-v-amoor_w	isa	PASS	0	20.35		campaigns/cpu-isa/rv64ua-v-amoor_w/simulation.log	cpu-isa
rv64ua-v-amoswap_d	isa	PASS	0	20.606		campaigns/cpu-isa/rv64ua-v-amoswap_d/simulation.log	cpu-isa
rv64ua-v-amoswap_w	isa	PASS	0	20.302		campaigns/cpu-isa/rv64ua-v-amoswap_w/simulation.log	cpu-isa
rv64ua-v-amoxor_d	isa	PASS	0	20.451		campaigns/cpu-isa/rv64ua-v-amoxor_d/simulation.log	cpu-isa
rv64ua-v-amoxor_w	isa	PASS	0	21.208		campaigns/cpu-isa/rv64ua-v-amoxor_w/simulation.log	cpu-isa
rv64ua-v-lrsc	isa	PASS	0	27.102		campaigns/cpu-isa/rv64ua-v-lrsc/simulation.log	cpu-isa
rv64uc-p-rvc	isa	PASS	0	2.186		campaigns/cpu-isa/rv64uc-p-rvc/simulation.log	cpu-isa
rv64uc-v-rvc	isa	PASS	0	32.124		campaigns/cpu-isa/rv64uc-v-rvc/simulation.log	cpu-isa
rv64ud-p-fadd	isa	PASS	0	2.037		campaigns/cpu-isa/rv64ud-p-fadd/simulation.log	cpu-isa
rv64ud-p-fclass	isa	PASS	0	1.63		campaigns/cpu-isa/rv64ud-p-fclass/simulation.log	cpu-isa
rv64ud-p-fcmp	isa	PASS	0	2.685		campaigns/cpu-isa/rv64ud-p-fcmp/simulation.log	cpu-isa
rv64ud-p-fcvt	isa	PASS	0	1.881		campaigns/cpu-isa/rv64ud-p-fcvt/simulation.log	cpu-isa
rv64ud-p-fcvt_w	isa	PASS	0	3.595		campaigns/cpu-isa/rv64ud-p-fcvt_w/simulation.log	cpu-isa
rv64ud-p-fdiv	isa	PASS	0	2.136		campaigns/cpu-isa/rv64ud-p-fdiv/simulation.log	cpu-isa
rv64ud-p-fmadd	isa	PASS	0	2.137		campaigns/cpu-isa/rv64ud-p-fmadd/simulation.log	cpu-isa
rv64ud-p-fmin	isa	PASS	0	2.487		campaigns/cpu-isa/rv64ud-p-fmin/simulation.log	cpu-isa
rv64ud-p-ldst	isa	PASS	0	1.778		campaigns/cpu-isa/rv64ud-p-ldst/simulation.log	cpu-isa
rv64ud-p-move	isa	PASS	0	3.899		campaigns/cpu-isa/rv64ud-p-move/simulation.log	cpu-isa
rv64ud-p-recoding	isa	PASS	0	1.878		campaigns/cpu-isa/rv64ud-p-recoding/simulation.log	cpu-isa
rv64ud-p-structural	isa	PASS	0	1.885		campaigns/cpu-isa/rv64ud-p-structural/simulation.log	cpu-isa
rv64ud-v-fadd	isa	PASS	0	21.757		campaigns/cpu-isa/rv64ud-v-fadd/simulation.log	cpu-isa
rv64ud-v-fclass	isa	PASS	0	12.701		campaigns/cpu-isa/rv64ud-v-fclass/simulation.log	cpu-isa
rv64ud-v-fcmp	isa	PASS	0	22.913		campaigns/cpu-isa/rv64ud-v-fcmp/simulation.log	cpu-isa
rv64ud-v-fcvt	isa	PASS	0	21.56		campaigns/cpu-isa/rv64ud-v-fcvt/simulation.log	cpu-isa
rv64ud-v-fcvt_w	isa	PASS	0	32.628		campaigns/cpu-isa/rv64ud-v-fcvt_w/simulation.log	cpu-isa
