test	suite	result	exit_status	wall_seconds	cycles	log
rv64ud-v-structural	isa	PASS	0	43.181		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-structural/simulation.log
rv64uf-p-fadd	isa	PASS	0	6.717		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fadd/simulation.log
rv64ud-v-recoding	isa	PASS	0	67.954		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-recoding/simulation.log
rv64uf-p-fclass	isa	PASS	0	6.519		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fclass/simulation.log
rv64uf-p-fcmp	isa	PASS	0	7.431		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fcmp/simulation.log
rv64uf-p-fcvt	isa	PASS	0	5.963		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fcvt/simulation.log
rv64uf-p-fdiv	isa	PASS	0	5.957		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fdiv/simulation.log
rv64uf-p-fcvt_w	isa	PASS	0	10.086		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fcvt_w/simulation.log
rv64uf-p-fmadd	isa	PASS	0	6.613		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fmadd/simulation.log
rv64uf-p-fmin	isa	PASS	0	7.475		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-fmin/simulation.log
rv64uf-p-ldst	isa	PASS	0	4.746		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-ldst/simulation.log
rv64uf-p-recoding	isa	PASS	0	4.856		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-recoding/simulation.log
rv64uf-p-move	isa	PASS	0	7.265		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-p-move/simulation.log
rv64uf-v-fclass	isa	PASS	0	41.265		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fclass/simulation.log
rv64uf-v-fadd	isa	PASS	0	67.421		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fadd/simulation.log
rv64uf-v-fcmp	isa	PASS	0	64.923		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fcmp/simulation.log
rv64uf-v-fcvt	isa	PASS	0	70.752		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fcvt/simulation.log
rv64uf-v-fdiv	isa	PASS	0	69.078		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fdiv/simulation.log
rv64uf-v-fcvt_w	isa	PASS	0	109.163		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fcvt_w/simulation.log
rv64uf-v-fmadd	isa	PASS	0	75.999		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fmadd/simulation.log
rv64uf-v-fmin	isa	PASS	0	72.217		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-fmin/simulation.log
rv64uf-v-move	isa	PASS	0	44.042		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-move/simulation.log
rv64uf-v-ldst	isa	PASS	0	69.742		${CAMPAIGN_ROOT}/cpu-isa/rv64uf-v-ldst/simulation.log
