UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_150,3.437500e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_151,3.593750e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_152,3.750000e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_153,3.906250e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_154,4.062500e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_155,4.218750e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_156,4.375000e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_157,4.531250e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_158,4.687500e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_159,4.843750e-04,6.250000e-05,1.562500e-05,1.562500e-05,,Si
unit_160,0.000000e+00,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_161,1.562500e-05,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_162,3.125000e-05,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_163,4.687500e-05,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_164,6.250000e-05,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_165,7.812500e-05,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_166,9.375000e-05,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_167,1.093750e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_168,1.250000e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_169,1.406250e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_170,1.562500e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_171,1.718750e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_172,1.875000e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_173,2.031250e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_174,2.187500e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_175,2.343750e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_176,2.500000e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_177,2.656250e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_178,2.812500e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_179,2.968750e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_180,3.125000e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_181,3.281250e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_182,3.437500e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_183,3.593750e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_184,3.750000e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_185,3.906250e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_186,4.062500e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_187,4.218750e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_188,4.375000e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_189,4.531250e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_190,4.687500e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_191,4.843750e-04,7.812500e-05,1.562500e-05,1.562500e-05,,Si
unit_192,0.000000e+00,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_193,1.562500e-05,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_194,3.125000e-05,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_195,4.687500e-05,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_196,6.250000e-05,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_197,7.812500e-05,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_198,9.375000e-05,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_199,1.093750e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_200,1.250000e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_201,1.406250e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_202,1.562500e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
unit_203,1.718750e-04,9.375000e-05,1.562500e-05,1.562500e-05,,Si
